word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
strip,separate items,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5,item,0.6323490440621989,strip,10,6.963704,5.8914833,25,11.582593,3.1810038
brush,action,action,apply liquid lightly,spread using brush,coat surface,brush oil on bread,,action apply liquid lightly spread using brush coat surface,5,action,1.0,brush,19,5.8582263,2.8572123,25,10.90763,3.6761465
dust,action,sprinkling item,lightly sprinkle powder,add fine coating,coat gently,dust cake with sugar,,sprinkling item lightly sprinkle powder add fine coating coat gently,5,item,1.0,dust,6,5.929251,1.8841041,25,10.83348,4.185824
mash,mixing,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,4,mixing,1.0,mash,13,7.6230593,2.7518675,25,10.5752125,4.911185
glaze,coating,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,5,coating,1.0,glaze,10,6.2202,2.3952334,25,11.351894,4.2872815
foil,decoration,prepare,wrap in metal sheet,cover with aluminum,protect food during cooking,foil fish before baking,,prepare wrap in metal sheet cover with aluminum protect food during cooking,5,sound,0.0,foil,9,4.5668373,3.8067205,25,11.762462,3.9057252
skin,shape change,shape change,remove outer layer,peel off covering,prepare surface,skin tomatoes,,shape change remove outer layer peel off covering prepare surface,5,shape change,1.0,skin,10,7.1793575,5.4823623,25,11.104906,3.4055514
wrap,action,action,cover with material,enclose food,seal ingredients,wrap sandwich in foil,,action cover with material enclose food seal ingredients,5,action,1.0,wrap,9,4.6681547,3.9715452,25,11.3730545,3.4500275
sprinkle,action,sprinkle item,scatter small amounts,lightly add topping,distribute evenly,sprinkle sugar on cake,,sprinkle item scatter small amounts lightly add topping distribute evenly,5,item,1.0,sprinkle,6,6.2710547,1.7309984,25,10.630247,4.43466
peel,shape change,shape change,remove skin or outer layer,skin fruit or vegetable,strip off covering,peel apples,,shape change remove skin or outer layer skin fruit or vegetable strip off covering,5,shape change,1.0,peel,10,7.215972,5.7146087,25,11.570601,3.4250166
coat,coating,coating,cover with layer,apply outer layer,encase ingredient,coat chicken with breadcrumbs,,coating cover with layer apply outer layer encase ingredient,5,coating,1.0,coat,10,7.378982,5.340367,25,11.172525,3.7672522
butter,coating,apply,apply butter,add fat,spread over surface,butter the pan,,apply apply butter add fat spread over surface,5,sound,0.0,butter,6,6.14684,2.275686,25,11.147697,4.0757637
top,decoration,prepare,place on upper surface,add finishing layer,decorate,top cake with strawberries,,prepare place on upper surface add finishing layer decorate,5,sound,0.0,top,10,7.2828836,5.1671987,25,10.745946,3.8429866
