word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
fry,more cooking,high heat cooking,cook in hot oil,cook in fat,high-heat method,fry eggs,,high heat cooking cook in hot oil cook in fat high-heat method,5,heat plus cool item,0.3087890209920528,fry,more cooking,10,13.469231,9.516531
season,flavoring,add flavor,add flavor,use spices or salt,enhance taste,season soup with pepper,,add flavor add flavor use spices or salt enhance taste,5,add water,0.5687180842966731,season,flavoring,10,13.430051,7.189736
zest,action,?,grate outer peel of citrus,extract aromatic layer,add flavor,zest lemon over cake,,? grate outer peel of citrus extract aromatic layer add flavor,5,sound,0.0,zest,action,10,12.668148,7.382912
butter,coating,apply,apply butter,add fat,spread over surface,butter the pan,,apply apply butter add fat spread over surface,5,sound,0.0,butter,coating,10,12.314386,7.745864
wok,utensils,utensil,shallow pan for stir-frying,round-bottomed pan,high-heat cooking,use wok for stir-fry,,utensil shallow pan for stir-frying round-bottomed pan high-heat cooking,5,sound,0.0,wok,utensils,10,13.654061,9.30282
stew,light cooking,slow heat cooking,cook slowly in liquid,simmer until tender,moist-heat method,stew beef for 2 hours,,slow heat cooking cook slowly in liquid simmer until tender moist-heat method,5,heat plus cool item,0.3087890209920528,stew,light cooking,10,12.862864,9.673987
cool,cooling,cool item,lower temperature,allow to reach room temp,chill slightly,cool cake on rack,,cool item lower temperature allow to reach room temp chill slightly,3,heat plus cool item,0.6324289162028641,cool,cooling,10,11.362668,9.207511
stir-fry,more cooking,high heat cooking,cook quickly in hot pan with oil,high-heat method,shake and move ingredients,stir-fry vegetables,,high heat cooking cook quickly in hot pan with oil high-heat method shake and move ingredients,5,heat plus cool item,0.3087890209920528,stir-fry,more cooking,10,13.136474,9.49567
pan-fry,more cooking,high heat cooking,cook in shallow oil,medium-heat cooking,brown surface,pan-fry chicken,,high heat cooking cook in shallow oil medium-heat cooking brown surface,5,heat plus cool item,0.3087890209920528,pan-fry,more cooking,10,13.4746685,9.405746
warm,light cooking,low heating,increase temperature slightly,heat gently,keep at serving temp,warm soup,,low heating increase temperature slightly heat gently keep at serving temp,5,sound,0.0,warm,light cooking,10,12.064313,9.285739
heat,light cooking,low heating,increase temperature,cook using warmth,apply energy,heat oil before sautéing,,low heating increase temperature cook using warmth apply energy,5,sound,0.0,heat,light cooking,10,12.981693,9.556896
