word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,pubmedbert_cluster,umap_x,umap_y
sear,coating,brown coating heat,brown surface quickly,seal exterior with heat,develop crust,sear meat before roasting,,brown coating heat brown surface quickly seal exterior with heat develop crust,5,coating,0.7071067811865476,sear,25,0.12224491,1.9823145
unroll,shape change,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,5,shape change,1.0,unroll,25,1.1011636,0.10980548
flake,cutting,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,2,item,1.0,flake,25,2.3057418,-0.0016803049
stop,action,action,end a process,prevent continuation,cease cooking action,stop cooking to avoid burning,,action end a process prevent continuation cease cooking action,5,action,1.0,stop,25,2.1078658,3.1992373
moisten,add water,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,5,add water,1.0,moisten,25,-0.30280572,1.4542327
rotate,action,action,turn around,change position,ensure even cooking,rotate baking tray,,action turn around change position ensure even cooking,5,action,1.0,rotate,25,1.7925428,3.049106
crumble,cutting,cut item,break into small pieces,reduce to crumbs,create rough texture,crumble cheese,,cut item break into small pieces reduce to crumbs create rough texture,2,item,1.0,crumble,25,2.128003,0.4805651
snap,cutting,cut item,break cleanly,crack sharply,test crispness,beans snap when fresh,,cut item break cleanly crack sharply test crispness,2,item,1.0,snap,25,2.1996243,0.76774585
stretch,shape change,shape change,pull gently to enlarge,extend dough,increase surface area,stretch pizza dough,,shape change pull gently to enlarge extend dough increase surface area,2,shape change,1.0,stretch,25,0.7495359,0.28892833
handle,action,action,touch and move food,manage ingredients carefully,work with gently,handle dough lightly,,action touch and move food manage ingredients carefully work with gently,5,action,1.0,handle,25,1.3336973,3.0503461
spray,add water,add liquid,apply as fine mist,distribute liquid lightly,coat evenly,spray oil on pan,,add liquid apply as fine mist distribute liquid lightly coat evenly,5,liquid leftover,0.4307387267923997,spray,25,-0.31260416,1.1720186
powdered,shape change,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,2,shape change,1.0,powdered,25,1.7750671,-0.11839355
wilt,shape change,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,2,shape change,1.0,wilt,25,0.46041963,0.5183426
grind,cutting,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,2,item,1.0,grind,25,1.9589251,-0.3409626
trim,remove unwanted item,remove unwanted item,remove excess parts,cut unwanted edges,neaten ingredient,trim fat from meat,,remove unwanted item remove excess parts cut unwanted edges neaten ingredient,2,remove unwanted item,1.0,trim,25,1.0479591,1.4934901
divide,cutting,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,2,item,1.0,divide,25,2.723359,0.31951648
swirl,action,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,4,action,1.0,swirl,25,2.2560015,2.2444704
process,shape change,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,5,shape change,1.0,process,25,0.96981126,-0.32266042
square,shape change,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,2,shape change,1.0,square,25,2.4899552,0.32566884
assemble,action,action,put components together,combine prepared parts,build final dish,assemble sandwich,,action put components together combine prepared parts build final dish,4,action,1.0,assemble,25,1.7850633,2.8172917
strip,separate items,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5,item,0.6323490440621989,strip,25,0.75125015,1.4246076
smear,action,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,5,action,1.0,smear,25,2.0614758,1.7362301
poke,cutting,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,2,item,1.0,poke,25,1.9812936,0.24962036
soften,shape change,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,2,shape change,1.0,soften,25,1.0266811,0.19567098
measure,unit,unit,determine exact amount,use measuring tools,portion ingredients accurately,measure flour,,unit determine exact amount use measuring tools portion ingredients accurately,1,unit,1.0,measure,25,1.7699484,1.5669583
mould,shape change,shape change,shape food,form using mold,create set shape,mould butter,,shape change shape food form using mold create set shape,2,shape change,1.0,mould,25,1.1297035,0.037394553
shape,shape change,shape change,form into desired form,give structure,create outline,shape dough,,shape change form into desired form give structure create outline,2,shape change,1.0,shape,25,1.2499287,0.07792337
raise,action,action,increase height or level,cause dough to grow,elevate mixture,yeast raises dough,,action increase height or level cause dough to grow elevate mixture,2,action,1.0,raise,25,-0.05654428,0.88601196
tear,cutting,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,2,item,1.0,tear,25,2.7105374,0.48888144
pick,action,action,choose or remove carefully,select small items,pluck gently,pick herbs,,action choose or remove carefully select small items pluck gently,5,action,1.0,pick,25,1.1800413,2.8507075
scoop,unit,unit,lift with spoon,remove portion,serve rounded amount,scoop ice cream,,unit lift with spoon remove portion serve rounded amount,1,unit,1.0,scoop,25,1.0153648,0.84743696
smash,shape change,shape change,crush forcefully,flatten completely,break into pieces,smash garlic,,shape change crush forcefully flatten completely break into pieces,2,shape change,1.0,smash,25,1.5074023,0.3355542
squash,shape change,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,2,shape change,1.0,squash,25,1.0788281,0.5351748
crush,shape change,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,2,shape change,1.0,crush,25,1.6233386,0.13992915
break,cutting,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,2,item,1.0,break,25,2.5526423,0.65072536
drop,action,action,let fall in small portions,release ingredient gently,place in batter,drop cookie dough onto tray,,action let fall in small portions release ingredient gently place in batter,5,action,1.0,drop,25,1.6229142,1.7723252
dice,cutting,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,2,item,1.0,dice,25,2.5887146,-0.033527303
unwrap,action,action,remove covering,take off packaging,expose food,unwrap chocolate,,action remove covering take off packaging expose food,5,action,1.0,unwrap,25,0.5766382,2.6168957
slather,coating,coating,spread thickly,coat generously,apply in large amount,slather butter on bread,,coating spread thickly coat generously apply in large amount,5,coating,1.0,slather,25,1.4830413,1.7321686
pat,action,action,press lightly,flatten with hand,shape gently,pat dough,,action press lightly flatten with hand shape gently,5,action,1.0,pat,25,2.2645578,1.8156267
split,cutting,cut item,divide lengthwise,separate in half,cut into sections,split buns,,cut item divide lengthwise separate in half cut into sections,2,item,1.0,split,25,2.7438636,0.23435833
mound,shape change,shape change,shape into small heap,pile food loosely,form round pile,mound rice on plate,,shape change shape into small heap pile food loosely form round pile,2,shape change,1.0,mound,25,1.0249534,-0.12619282
replace,action,action,put back in place,swap items,substitute ingredient,replace lid on pot,,action put back in place swap items substitute ingredient,5,action,1.0,replace,25,1.6355368,3.1197746
unfold,shape change,shape change,open folded item,spread out flat,expose layers,unfold puff pastry,,shape change open folded item spread out flat expose layers,5,shape change,1.0,unfold,25,1.2226622,0.06164295
smooth,shape change,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,2,shape change,1.0,smooth,25,1.1260272,0.60007703
press,action,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,5,action,1.0,press,25,2.445325,1.7814746
roll,shape change,shape change,flatten or shape by rolling,form cylinder,shape dough,roll out pastry,,shape change flatten or shape by rolling form cylinder shape dough,2,shape change,1.0,roll,25,1.2583517,0.22420295
skin,shape change,shape change,remove outer layer,peel off covering,prepare surface,skin tomatoes,,shape change remove outer layer peel off covering prepare surface,5,shape change,1.0,skin,25,0.5335097,1.2293566
reserve,action,action,set aside for later,keep portion,save ingredient,reserve some sauce,,action set aside for later keep portion save ingredient,5,action,1.0,reserve,25,1.9619408,3.2244377
pull,shape change,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,5,shape change,1.0,pull,25,1.8927158,1.1381034
start,action,action,begin cooking,initiate process,turn on appliance,start oven preheating,,action begin cooking initiate process turn on appliance,5,action,1.0,start,25,1.2351545,3.3358927
minced,cutting,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,2,item,1.0,minced,25,2.289582,-0.18161894
dump,action,action,pour all at once,add quickly,transfer bulk ingredient,dump vegetables into pot,,action pour all at once add quickly transfer bulk ingredient,5,action,1.0,dump,25,1.594704,2.2318032
peel,shape change,shape change,remove skin or outer layer,skin fruit or vegetable,strip off covering,peel apples,,shape change remove skin or outer layer skin fruit or vegetable strip off covering,5,shape change,1.0,peel,25,0.66232914,1.2829798
throw,action,action,add quickly,mix roughly,put in container,throw vegetables into pan,,action add quickly mix roughly put in container,5,action,1.0,throw,25,1.9541948,2.5860038
mince,cutting,cut item,cut into very small pieces,chop finely,reduce to tiny bits,mince onions,,cut item cut into very small pieces chop finely reduce to tiny bits,2,item,1.0,mince,25,2.260062,-0.17666177
chop,cutting,cut item,cut into pieces,divide roughly,cut ingredients,chop onions,,cut item cut into pieces divide roughly cut ingredients,2,item,1.0,chop,25,2.7421067,0.25976717
separate,cutting,cut item,divide into parts,remove layers,split ingredient,separate egg yolk from white,,cut item divide into parts remove layers split ingredient,2,item,1.0,separate,25,2.6808693,0.17044425
slice,cutting,cut item,cut into flat pieces,divide food,make thin portions,slice bread,,cut item cut into flat pieces divide food make thin portions,2,item,1.0,slice,25,2.5376554,0.083104916
save,action,action,keep for later,reserve portion,store ingredient,save leftover sauce,,action keep for later reserve portion store ingredient,5,action,1.0,save,25,2.1622064,3.3122451
open,action,action,uncover or unfold,remove lid,expose ingredients,open jar of sauce,,action uncover or unfold remove lid expose ingredients,5,action,1.0,open,25,1.6061909,1.9806889
touch,action,action,handle lightly,test by hand,feel texture,touch dough gently,,action handle lightly test by hand feel texture,2,action,1.0,touch,25,2.3622575,1.92966
turn,action,action,flip or rotate,change side or orientation,move position,turn steak in pan,,action flip or rotate change side or orientation move position,5,action,1.0,turn,25,2.590167,2.2467434
remove,action,action,take away,extract ingredient,discard,remove skin from fish,,action take away extract ingredient discard,5,action,1.0,remove,25,0.6402785,2.8903525
place,action,action,put in position,set ingredient down,arrange on surface,place dough on tray,,action put in position set ingredient down arrange on surface,5,action,1.0,place,25,2.2508132,2.6300938
put,action,action,place somewhere,set ingredient down,add to dish,put vegetables in pot,,action place somewhere set ingredient down add to dish,5,action,1.0,put,25,1.817902,2.7813609
