word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,doc2vec_cluster,umap_x,umap_y
marinate,flavoring,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade,5,shape change,0.5773502691896257,marinate,1,-0.055702806,3.4730163
foam,forming foam,form bubble,mass of bubbles,light airy texture,bubbles formed by whisking,milk foam on coffee,,form bubble mass of bubbles light airy texture bubbles formed by whisking,2,bubble formation,0.5773502691896257,foam,1,8.275124,11.727071
crockpot,pressure cooking,pressure cooking,slow cooker appliance,electric pot for long cooking,low-heat cooking device,stew cooks in crockpot,,pressure cooking slow cooker appliance electric pot for long cooking low-heat cooking device,5,pressure cooking,1.0,crockpot,1,10.077317,11.350297
caramelize,coating,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden,5,coating,1.0,caramelize,1,14.0785475,7.723271
refrigerate,shape change,shape change,keep cold for storage,store in refrigerator,slow food spoilage,refrigerate leftovers,,shape change keep cold for storage store in refrigerator slow food spoilage,5,shape change,1.0,refrigerate,1,19.298277,0.08932585
grease,coating,coat with fat,coat with fat,apply oil or butter,prevent sticking,grease baking pan,,coat with fat coat with fat apply oil or butter prevent sticking,5,sound,0.0,grease,1,9.933488,11.4131775
evaporated,reduce water,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid,5,reduce water,1.0,evaporated,1,10.609218,11.268944
overcook,more cooking,cook extra,cook too long,exceed ideal doneness,ruin texture or flavor,overcooked pasta,,cook extra cook too long exceed ideal doneness ruin texture or flavor,5,sound,0.0,overcook,1,8.905697,11.6093025
massage,flavoring,flavor change,rub gently by hand,work ingredients softly,change texture by rubbing,massage kale with oil,,flavor change rub gently by hand work ingredients softly change texture by rubbing,2,shape change,0.5773502691896257,massage,1,8.725895,11.567856
charred,more cooking,burning surface heat,burned on surface,blackened by heat,smoky flavor result,charred peppers,,burning surface heat burned on surface blackened by heat smoky flavor result,5,heat plus cool item,0.3873092001071206,charred,1,2.6344793,8.501611
evaporate,reduce water,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content,5,remove unwanted item,0.3586231983895778,evaporate,1,0.39659864,4.203675
condensed,reduce water,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form,5,more cooking,0.3817744687094886,condensed,1,5.259455,11.480257
griddle,utensils,cooking item,flat cooking surface,metal plate for frying,used for pancakes,bake on a griddle,,cooking item flat cooking surface metal plate for frying used for pancakes,5,item,0.7331713064113278,griddle,1,13.834628,6.6538363
presentation,decoration,food decoration,visual arrangement of food,how food is served,plating style,good presentation improves appeal,,food decoration visual arrangement of food how food is served plating style,5,decoration,1.0,presentation,1,8.3831415,11.656691
dredge,coating,coating,coat lightly with flour,cover before cooking,prepare for frying,dredge fish in flour,,coating coat lightly with flour cover before cooking prepare for frying,4,coating,1.0,dredge,1,1.7202262,6.774653
barbecue,more cooking,open heat cooking,cook over open flame,grill or smoke food,outdoor cooking method,barbecue ribs,,open heat cooking cook over open flame grill or smoke food outdoor cooking method,5,heat plus cool item,0.3087890209920528,barbecue,1,0.7640473,4.626154
curdle,forming curd,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump,3,forming curd,1.0000000000000002,curdle,1,2.366601,8.054541
dollop,unit,measuring unit,small rounded amount,spoonful portion,soft mound of food,dollop of cream,,measuring unit small rounded amount spoonful portion soft mound of food,1,unit,1.0,dollop,1,12.8564625,10.247678
scorching,more cooking,high heat cooking,extremely hot,burning surface heat,risk of burning food,scorching pan heat,,high heat cooking extremely hot burning surface heat risk of burning food,5,heat plus cool item,0.3087890209920528,scorching,1,1.0526574,5.3672967
tilt,action,pan movement,angle container,lean pan slightly,direct liquid flow,tilt pan to baste steak,,pan movement angle container lean pan slightly direct liquid flow,5,sound,0.0,tilt,1,13.569372,9.130176
muddle,mixing,mixing items,crush gently,press to release flavors,lightly mash ingredients,muddle mint for drinks,,mixing items crush gently press to release flavors lightly mash ingredients,5,mixing,0.7071067811865476,muddle,1,3.0976186,9.268252
deglaze,light cooking,light heat,loosen browned bits,dissolve pan residue with liquid,create sauce from drippings,deglaze pan with wine,,light heat loosen browned bits dissolve pan residue with liquid create sauce from drippings,5,light cooking,0.4408042661765528,deglaze,1,22.354126,-1.4687195
freezing,cooling,cooling item,preserve by cold,turn liquid solid,store at very low temperature,freezing berries,,cooling item preserve by cold turn liquid solid store at very low temperature,5,cooling,0.7746836041079114,freezing,1,20.370247,-0.6458714
parboil,water cooking,cooking in water,boil briefly,partially cook in water,pre-cook ingredient,parboil potatoes,,cooking in water boil briefly partially cook in water pre-cook ingredient,5,water cooking,0.7439597134122227,parboil,1,2.6874058,8.6880245
baste,add water,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture,5,add water,1.0,baste,1,0.18721059,3.9300246
scrub,cleaning,cleaning,clean by rubbing firmly,wash vegetables thoroughly,remove dirt,scrub potatoes,,cleaning clean by rubbing firmly wash vegetables thoroughly remove dirt,3,cleaning,1.0,scrub,1,22.37401,-1.6142206
defrost,reduce water,remove ice,remove ice,thaw frozen food,return to usable state,defrost meat safely,,remove ice remove ice thaw frozen food return to usable state,3,remove unwanted item,0.4629286027068446,defrost,1,7.994923,11.604167
rising,shape change,shape change,dough expansion,increase in size,gas causes growth,dough rising before baking,,shape change dough expansion increase in size gas causes growth,2,shape change,1.0,rising,1,14.028838,7.6357164
preheat,light cooking,preheat,heat beforehand,warm oven before cooking,prepare correct temperature,preheat oven to 180°c,,preheat heat beforehand warm oven before cooking prepare correct temperature,5,sound,0.0,preheat,1,13.786398,8.647907
roux,mixture of flour,mixture of flour,fat and flour mixture,base for thickening sauces,cooked flour paste,make roux for gravy,,mixture of flour fat and flour mixture base for thickening sauces cooked flour paste,4,mixture of flour,1.0000000000000002,roux,1,3.9917488,10.842379
store,action,place,keep for later use,place in storage,preserve food properly,store leftovers,,place keep for later use place in storage preserve food properly,5,sound,0.0,store,1,3.7309787,10.393301
tie,action,bind,bind with string,secure ingredients,hold shape while cooking,tie roast with twine,,bind bind with string secure ingredients hold shape while cooking,4,sound,0.0,tie,1,20.241304,-0.54872626
slit,cutting,cut open,make narrow cut,cut slightly open,create opening,slit chili peppers,,cut open make narrow cut cut slightly open create opening,2,sound,0.0,slit,1,0.7266676,4.7119336
distribute,separate items,spread parts,spread evenly,divide among parts,arrange throughout dish,distribute toppings evenly,,spread parts spread evenly divide among parts arrange throughout dish,5,sound,0.0,distribute,1,9.64283,11.458209
bubbling,bubble formation,bubble formation,form bubbles,boiling action,release gas while cooking,sauce bubbling gently,,bubble formation form bubbles boiling action release gas while cooking,2,bubble formation,1.0,bubbling,1,11.503795,11.110675
blanch,heat plus cool item,heat plus cool item,boil briefly then cool,scald vegetables quickly,prepare for freezing,blanch spinach,,heat plus cool item boil briefly then cool scald vegetables quickly prepare for freezing,3,heat plus cool item,1.0,blanch,1,10.53632,11.353108
flavoring,flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,5,sound,0.0,flavoring,1,8.906254,11.5837755
pierce,cutting,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,2,sound,0.0,pierce,1,0.45720917,4.2960253
decorate,decoration,presentation,add visual detail,garnish food,improve appearance,decorate cake,,presentation add visual detail garnish food improve appearance,5,sound,0.0,decorate,1,19.60752,-0.13181734
insert,action,small action,put inside,place within food,add ingredient internally,insert garlic into roast,,small action put inside place within food add ingredient internally,5,action,1.0,insert,1,0.7147661,4.6955314
unmold,action,take out of mold,remove from mold,release shaped food,turn out of container,unmold pudding,,take out of mold remove from mold release shaped food turn out of container,2,mixture of flour,0.447213595499958,unmold,1,9.84516,11.426928
grate,shape change,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,2,shape change,1.0,grate,1,4.3889427,11.130779
prick,cutting,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,2,sound,0.0,prick,1,1.047664,5.4216876
dressing,flavoring,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,5,add water,0.5687180842966731,dressing,1,2.6970487,8.715214
shred,shape change,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,2,shape change,0.9045801740656269,shred,1,0.02541879,3.59727
ice,cooling,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,3,add water,0.3786964065190975,ice,1,8.177139,11.494436
flatten,shape change,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,2,shape change,1.0,flatten,1,13.866586,8.179898
sizzle,sound,sound,make hissing sound,cook with hot fat,quick high-heat sound,steak sizzles in pan,,sound make hissing sound cook with hot fat quick high-heat sound,5,sound,1.0,sizzle,1,13.765495,6.5286984
sear,coating,brown coating heat,brown surface quickly,seal exterior with heat,develop crust,sear meat before roasting,,brown coating heat brown surface quickly seal exterior with heat develop crust,5,coating,0.7071067811865476,sear,1,3.991973,10.932639
caramelized,coating,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,5,coating,1.0,caramelized,1,20.396593,-0.7051431
unroll,shape change,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,5,shape change,1.0,unroll,1,2.7591558,8.80223
sweeten,add sugar,add sugar,add sugar,increase sweetness,improve taste,sweeten sauce lightly,,add sugar add sugar increase sweetness improve taste,5,add sugar,1.0000000000000002,sweeten,1,13.879086,7.8801837
flake,cutting,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,2,item,1.0,flake,1,-0.8624003,2.4324152
tuck,shape change,small shape change,push neatly into place,secure edges,hide excess,tuck dough edges under,,small shape change push neatly into place secure edges hide excess,2,shape change,1.0,tuck,1,8.103798,11.549057
stop,action,action,end a process,prevent continuation,cease cooking action,stop cooking to avoid burning,,action end a process prevent continuation cease cooking action,5,action,1.0,stop,1,-1.1423833,2.0728796
settle,action,action,allow to rest,let ingredients stabilize,pause before next step,let batter settle,,action allow to rest let ingredients stabilize pause before next step,5,action,1.0,settle,1,5.7702193,11.657035
moisten,add water,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,5,add water,1.0,moisten,1,11.775673,10.985175
rotate,action,action,turn around,change position,ensure even cooking,rotate baking tray,,action turn around change position ensure even cooking,5,action,1.0,rotate,1,10.322662,11.396199
snap,cutting,cut item,break cleanly,crack sharply,test crispness,beans snap when fresh,,cut item break cleanly crack sharply test crispness,2,item,1.0,snap,1,2.1413481,7.5701027
sieve,filtering,filtering particles,strain dry or wet ingredients,separate fine particles,refine texture,sieve flour,,filtering particles strain dry or wet ingredients separate fine particles refine texture,3,filtering,1.0,sieve,1,13.64076,9.027368
drip,reduce water,remove liquid,let liquid fall slowly,allow excess liquid to drop,drain lightly,let oil drip off food,,remove liquid let liquid fall slowly allow excess liquid to drop drain lightly,5,liquid leftover,0.408248290463863,drip,1,2.699563,8.456074
sweat,light cooking,cook slowly,soften without browning,release moisture gently,cook slowly in fat,sweat onions,,cook slowly soften without browning release moisture gently cook slowly in fat,5,sound,0.0,sweat,1,19.583042,-0.11767463
handle,action,action,touch and move food,manage ingredients carefully,work with gently,handle dough lightly,,action touch and move food manage ingredients carefully work with gently,5,action,1.0,handle,1,5.825138,11.623424
submerge,add water,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,5,add water,1.0,submerge,1,8.975302,11.431179
spray,add water,add liquid,apply as fine mist,distribute liquid lightly,coat evenly,spray oil on pan,,add liquid apply as fine mist distribute liquid lightly coat evenly,5,liquid leftover,0.4307387267923997,spray,1,0.11725308,3.7787914
flip,action,action,turn over,reverse sides,change cooking surface,flip pancake,,action turn over reverse sides change cooking surface,5,action,1.0,flip,1,5.721516,11.544702
immerse,add water,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,5,add water,1.0,immerse,1,13.511582,9.235549
powdered,shape change,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,2,shape change,1.0,powdered,1,10.031834,11.489986
sift,utensils,tool,pass through sieve,aerate dry ingredients,remove lumps,sift flour,,tool pass through sieve aerate dry ingredients remove lumps,3,sound,0.0,sift,1,13.921518,7.9860444
shake,action,action,move back and forth,agitate ingredients,mix lightly,shake dressing,,action move back and forth agitate ingredients mix lightly,4,action,1.0,shake,1,0.6229203,4.558935
wilt,shape change,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,2,shape change,1.0,wilt,1,7.992507,11.649291
scrape,cleaning,clean,remove by dragging tool,collect residue,clean surface,scrape pan bottom,,clean remove by dragging tool collect residue clean surface,3,sound,0.0,scrape,1,1.5182388,6.396823
smoke,flavoring,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,5,add water,0.5687180842966731,smoke,1,4.732805,11.339798
marinade,flavoring,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,5,add water,0.5687180842966731,marinade,1,0.4883731,4.3925586
dissolve,add water,mix in water,blend into liquid fully,disappear into liquid,combine completely,dissolve sugar in water,,mix in water blend into liquid fully disappear into liquid combine completely,5,water cooking,0.5454499149998363,dissolve,1,-1.426679,1.6683822
grind,cutting,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,2,item,1.0,grind,1,5.2724357,11.489877
blitz,cutting,cut item heavily,process quickly in blender,puree rapidly,blend at high speed,blitz soup,,cut item heavily process quickly in blender puree rapidly blend at high speed,2,item,1.0,blitz,1,9.956727,11.382733
bubble,bubble formation,form bubble,form bubbles,boil gently,release gas,mixture bubbles while heating,,form bubble form bubbles boil gently release gas,2,bubble formation,0.5773502691896257,bubble,1,11.902955,10.926738
slash,cutting,cut item,make long cut,score surface,allow expansion,slash bread dough,,cut item make long cut score surface allow expansion,2,item,1.0,slash,1,4.0661483,10.821624
blot,reduce water,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,5,remove unwanted item,0.3586231983895778,blot,1,4.966261,11.392522
style,decoration,decorate,arrange attractively,shape presentation,decorate food,style plated dessert,,decorate arrange attractively shape presentation decorate food,5,sound,0.0,style,1,4.153216,10.999611
trim,remove unwanted item,remove unwanted item,remove excess parts,cut unwanted edges,neaten ingredient,trim fat from meat,,remove unwanted item remove excess parts cut unwanted edges neaten ingredient,2,remove unwanted item,1.0,trim,1,12.702137,10.424681
twist,action,action,turn or coil,rotate ends,shape ingredient,twist breadsticks,,action turn or coil rotate ends shape ingredient,5,action,1.0,twist,1,-0.10036454,3.4374633
whip,shape change,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,2,shape change,1.0,whip,1,-0.63493556,2.7233582
carve,cutting,cut item,cut cooked meat,slice neatly,prepare servings,carve roast,,cut item cut cooked meat slice neatly prepare servings,2,item,1.0,carve,1,12.52783,10.555789
divide,cutting,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,2,item,1.0,divide,1,19.863964,-0.3007301
meld,flavoring,mix flavor,blend flavors together,combine smoothly,unite tastes,flavors meld in stew,,mix flavor blend flavors together combine smoothly unite tastes,4,sound,0.0,meld,1,11.3333435,11.167295
swirl,action,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,4,action,1.0,swirl,1,8.182328,11.812441
garnish,decoration,decorate,decorate dish,add finishing touch,improve appearance,garnish with herbs,,decorate decorate dish add finishing touch improve appearance,5,sound,0.0,garnish,1,22.339869,-1.6079285
thaw,reduce water,remove ice,defrost frozen food,return to room temperature,remove ice safely,thaw meat before cooking,,remove ice defrost frozen food return to room temperature remove ice safely,3,remove unwanted item,0.4629286027068446,thaw,1,13.749338,8.793291
braise,light cooking,slow heat,cook slowly with liquid,moist-heat cooking method,low and slow cooking,braise beef,,slow heat cook slowly with liquid moist-heat cooking method low and slow cooking,5,heat plus cool item,0.3873092001071206,braise,1,0.7310557,4.684783
uncover,action,action,remove lid or cover,expose food during cooking,allow browning or evaporation,uncover pot to reduce sauce,,action remove lid or cover expose food during cooking allow browning or evaporation,5,action,1.0,uncover,1,11.840509,10.949121
process,shape change,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,5,shape change,1.0,process,1,4.1794534,11.095844
bake,more cooking,heating,cook with dry heat,use oven heat,even cooking method,bake bread,,heating cook with dry heat use oven heat even cooking method,5,sound,0.0,bake,1,-0.023412453,3.5251448
rinse,cleaning,clean,wash lightly with water,remove residue or starch,clean briefly,rinse rice,,clean wash lightly with water remove residue or starch clean briefly,3,sound,0.0,rinse,1,0.2592254,3.9973648
repeat,action,action,do again,perform step once more,carry out same action,repeat stirring process,,action do again perform step once more carry out same action,5,action,1.0,repeat,1,22.399082,-1.5692422
scatter,decoration,decoration,spread loosely,distribute lightly over surface,arrange evenly,scatter herbs on dish,,decoration spread loosely distribute lightly over surface arrange evenly,5,decoration,1.0,scatter,1,20.34619,-0.62355286
square,shape change,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,2,shape change,1.0,square,1,10.06484,11.499905
char,flavoring,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,5,add water,0.5687180842966731,char,1,7.0812993,11.685544
uncovered,action,action,not covered during cooking,exposed to air,allow evaporation,bake uncovered,,action not covered during cooking exposed to air allow evaporation,5,action,1.0,uncovered,1,19.055685,0.2940556
whirl,action,action,spin rapidly,mix in circular motion,blend by spinning,whirl sauce in blender,,action spin rapidly mix in circular motion blend by spinning,4,action,1.0,whirl,1,11.697293,11.005238
seal,action,action,close tightly,lock in moisture,prevent air entry,seal container,,action close tightly lock in moisture prevent air entry,5,action,1.0,seal,1,12.175601,10.886314
assemble,action,action,put components together,combine prepared parts,build final dish,assemble sandwich,,action put components together combine prepared parts build final dish,4,action,1.0,assemble,1,5.6072326,11.534053
wash,cleaning,clean,clean with water,remove dirt or residue,prepare for use,wash vegetables,,clean clean with water remove dirt or residue prepare for use,3,sound,0.0,wash,1,-0.06439363,3.493582
strain,filtering,filter,separate liquid from solids,filter mixture,remove particles,strain broth,,filter separate liquid from solids filter mixture remove particles,5,sound,0.0,strain,1,13.295613,9.618054
pop,many meaning,many meaning,burst open suddenly,expand and open with heat,release steam,pop popcorn,,many meaning burst open suddenly expand and open with heat release steam,5,many meaning,1.0,pop,1,10.087849,11.541093
strip,separate items,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5,item,0.6323490440621989,strip,1,22.415754,-1.6295307
smear,action,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,5,action,1.0,smear,1,13.884342,6.621707
ladle,utensils,utensil,serve with deep spoon,pour using ladle,transfer liquid food,ladle soup into bowl,,utensil serve with deep spoon pour using ladle transfer liquid food,5,sound,0.0,ladle,1,19.995396,-0.38286078
seasoning,flavoring,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,5,add water,0.5687180842966731,seasoning,1,13.928344,7.3072753
poke,cutting,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,2,item,1.0,poke,1,4.506476,11.15007
dress,flavoring,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,5,add water,0.5687180842966731,dress,1,-0.9939467,2.2827225
burn,more cooking,high heat cooking,overheat food,blacken unintentionally,cause scorching,burn sugar quickly,,high heat cooking overheat food blacken unintentionally cause scorching,5,heat plus cool item,0.3087890209920528,burn,1,11.362539,11.126663
reduce,reduce water,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,5,remove unwanted item,0.3586231983895778,reduce,1,1.824593,6.9136496
dust,action,sprinkling item,lightly sprinkle powder,add fine coating,coat gently,dust cake with sugar,,sprinkling item lightly sprinkle powder add fine coating coat gently,5,item,1.0,dust,1,19.17907,0.19426607
stack,shape change,shape change,place items on top of each other,arrange in layers,pile neatly,stack pancakes,,shape change place items on top of each other arrange in layers pile neatly,5,shape change,1.0,stack,1,21.484629,-1.183039
reheat,light cooking,low heating,heat again,warm cooked food,restore serving temperature,reheat leftovers,,low heating heat again warm cooked food restore serving temperature,5,sound,0.0,reheat,1,13.783153,6.4886026
transfer,action,action,move from one place to another,shift food to new container,relocate ingredients,transfer sauce to bowl,,action move from one place to another shift food to new container relocate ingredients,5,action,1.0,transfer,1,12.247236,10.73851
soften,shape change,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,2,shape change,1.0,soften,1,4.4297786,11.204546
drizzle,action,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,1,sound,0.0,drizzle,1,0.2260651,3.8858423
arrange,action,action,place neatly,organize food visually,prepare presentation,arrange vegetables on plate,,action place neatly organize food visually prepare presentation,5,action,1.0,arrange,1,3.2469802,9.466696
measure,unit,unit,determine exact amount,use measuring tools,portion ingredients accurately,measure flour,,unit determine exact amount use measuring tools portion ingredients accurately,1,unit,1.0,measure,1,11.242173,11.186927
fold,mixing,mixing,combine gently,turn mixture over softly,preserve air,fold egg whites into batter,,mixing combine gently turn mixture over softly preserve air,4,mixing,1.0,fold,1,11.88316,10.858709
beat,shape change,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,2,shape change,1.0,beat,1,8.462418,11.618668
simmer,light cooking,low heating,cook just below boiling,heat gently,maintain slow bubbles,simmer soup,,low heating cook just below boiling heat gently maintain slow bubbles,5,sound,0.0,simmer,1,9.113702,11.455467
mould,shape change,shape change,shape food,form using mold,create set shape,mould butter,,shape change shape food form using mold create set shape,2,shape change,1.0,mould,1,2.443569,8.155025
shape,shape change,shape change,form into desired form,give structure,create outline,shape dough,,shape change form into desired form give structure create outline,2,shape change,1.0,shape,1,9.804152,11.508126
stirring,mixing,mixing,moving ingredients around,mixing continuously,prevent sticking,stirring sauce,,mixing moving ingredients around mixing continuously prevent sticking,4,mixing,1.0,stirring,1,14.033384,7.721608
raise,action,action,increase height or level,cause dough to grow,elevate mixture,yeast raises dough,,action increase height or level cause dough to grow elevate mixture,2,action,1.0,raise,1,12.864187,10.231529
