word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y
sizzle,sound,sound,make hissing sound,cook with hot fat,quick high-heat sound,steak sizzles in pan,,sound make hissing sound cook with hot fat quick high-heat sound,5,sound,1.0,sizzle,15,2.981264,2.4978983
caramelized,coating,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,5,coating,1.0,caramelized,15,7.0055385,2.5987256
moisten,add water,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,5,add water,1.0,moisten,15,5.4332366,2.3765843
soak,add water,add water,submerge in liquid,allow absorption,hydrate ingredient,soak beans overnight,,add water submerge in liquid allow absorption hydrate ingredient,5,add water,1.0,soak,15,5.0890346,1.1219777
drip,reduce water,remove liquid,let liquid fall slowly,allow excess liquid to drop,drain lightly,let oil drip off food,,remove liquid let liquid fall slowly allow excess liquid to drop drain lightly,5,liquid leftover,0.408248290463863,drip,15,5.193195,1.461524
sweat,light cooking,cook slowly,soften without browning,release moisture gently,cook slowly in fat,sweat onions,,cook slowly soften without browning release moisture gently cook slowly in fat,5,sound,0.0,sweat,15,6.9331,2.5523243
submerge,add water,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,5,add water,1.0,submerge,15,5.1459517,1.1718011
immerse,add water,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,5,add water,1.0,immerse,15,5.1798935,1.1139553
wilt,shape change,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,2,shape change,1.0,wilt,15,7.047432,3.1199758
smoke,flavoring,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,5,add water,0.5687180842966731,smoke,15,4.2295537,2.0310254
marinade,flavoring,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,5,add water,0.5687180842966731,marinade,15,4.4351134,1.7949417
toast,light cooking,brown with heat,brown with dry heat,heat until crisp,enhance flavor,toast bread,,brown with heat brown with dry heat heat until crisp enhance flavor,5,heat plus cool item,0.3873092001071206,toast,15,6.847958,2.6147509
bubble,bubble formation,form bubble,form bubbles,boil gently,release gas,mixture bubbles while heating,,form bubble form bubbles boil gently release gas,2,bubble formation,0.5773502691896257,bubble,15,6.374941,3.545521
blot,reduce water,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,5,remove unwanted item,0.3586231983895778,blot,15,5.637535,1.457607
whip,shape change,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,2,shape change,1.0,whip,15,6.498637,3.8849196
thicken,reduce water,reduce liquid,increase density,reduce liquid,add body to sauce,thicken gravy,,reduce liquid increase density reduce liquid add body to sauce,5,reduce water,0.4330430737670977,thicken,15,5.1234727,1.5456301
braise,light cooking,slow heat,cook slowly with liquid,moist-heat cooking method,low and slow cooking,braise beef,,slow heat cook slowly with liquid moist-heat cooking method low and slow cooking,5,heat plus cool item,0.3873092001071206,braise,15,2.3174508,2.914702
bake,more cooking,heating,cook with dry heat,use oven heat,even cooking method,bake bread,,heating cook with dry heat use oven heat even cooking method,5,sound,0.0,bake,15,2.6434505,3.134235
char,flavoring,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,5,add water,0.5687180842966731,char,15,3.9416971,2.5664666
pop,many meaning,many meaning,burst open suddenly,expand and open with heat,release steam,pop popcorn,,many meaning burst open suddenly expand and open with heat release steam,5,many meaning,1.0,pop,15,6.2666163,3.409303
poach,water cooking,cook in water,cook gently in liquid,low-temperature simmering,moist cooking method,poach eggs,,cook in water cook gently in liquid low-temperature simmering moist cooking method,5,water cooking,0.5454499149998363,poach,15,2.224785,3.1335843
seasoning,flavoring,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,5,add water,0.5687180842966731,seasoning,15,4.4821076,2.092811
dress,flavoring,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,5,add water,0.5687180842966731,dress,15,4.701603,2.258158
burn,more cooking,high heat cooking,overheat food,blacken unintentionally,cause scorching,burn sugar quickly,,high heat cooking overheat food blacken unintentionally cause scorching,5,heat plus cool item,0.3087890209920528,burn,15,3.2711744,2.7836854
reduce,reduce water,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,5,remove unwanted item,0.3586231983895778,reduce,15,4.8963447,1.4412876
reheat,light cooking,low heating,heat again,warm cooked food,restore serving temperature,reheat leftovers,,low heating heat again warm cooked food restore serving temperature,5,sound,0.0,reheat,15,2.9966505,3.8673437
drizzle,action,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,1,sound,0.0,drizzle,15,5.0955634,2.416144
beat,shape change,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,2,shape change,1.0,beat,15,6.50154,3.628506
simmer,light cooking,low heating,cook just below boiling,heat gently,maintain slow bubbles,simmer soup,,low heating cook just below boiling heat gently maintain slow bubbles,5,sound,0.0,simmer,15,2.9080925,3.8997047
saute,more cooking,high heat cooking,cook quickly in small fat,high-heat frying,shallow pan cooking,saute onions,,high heat cooking cook quickly in small fat high-heat frying shallow pan cooking,5,heat plus cool item,0.3087890209920528,saute,15,2.4973114,2.7618616
drain,reduce water,remove liquid,remove liquid from solid,let liquid run off,separate food from water,drain pasta,,remove liquid remove liquid from solid let liquid run off separate food from water,5,liquid leftover,0.408248290463863,drain,15,5.370127,1.5109361
splash,add water,add liquid,spray liquid lightly,scatter small drops,add water or sauce quickly,splash water on vegetables,,add liquid spray liquid lightly scatter small drops add water or sauce quickly,5,liquid leftover,0.4307387267923997,splash,15,5.2311673,2.2686248
chill,cooling,cool item,cool in refrigerator,lower temperature,prepare for serving,chill dough before baking,,cool item cool in refrigerator lower temperature prepare for serving,3,heat plus cool item,0.6324289162028641,chill,15,3.2362952,4.4242716
moist,add water,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,5,add water,1.0,moist,15,4.951292,2.2009885
scald,light cooking,low heating,heat liquid almost to boiling,hot but not boiling,prepare for pasteurization,scald milk,,low heating heat liquid almost to boiling hot but not boiling prepare for pasteurization,5,sound,0.0,scald,15,2.9213948,3.4964206
steam,water cooking,water cooking,cook with steam,use vapor to cook,moist-heat method,steam vegetables,,water cooking cook with steam use vapor to cook moist-heat method,5,water cooking,1.0000000000000002,steam,15,2.4552972,3.0880015
pack,decoration,prepare,place tightly into container,fill storage,organize food,packed lunch box,,prepare place tightly into container fill storage organize food,5,sound,0.0,pack,15,5.5709076,4.7188587
roast,more cooking,high heat cooking,cook with dry heat in oven,bake meat or vegetables,slow even cooking,roaѕt chicken,,high heat cooking cook with dry heat in oven bake meat or vegetables slow even cooking,5,heat plus cool item,0.3087890209920528,roast,15,2.6726298,2.6739204
whisk,shape change,shape change,beat rapidly,incorporate air,mix quickly,whisk eggs,,shape change beat rapidly incorporate air mix quickly,2,shape change,1.0,whisk,15,6.518526,3.6965942
melt,shape change,shape change,change solid to liquid,heat until liquid,softening with heat,melt butter,,shape change change solid to liquid heat until liquid softening with heat,5,shape change,1.0,melt,15,6.9387693,3.247829
hold,action,action,keep at certain temperature,maintain position or state,preserve food,hold soup warm,,action keep at certain temperature maintain position or state preserve food,5,action,1.0,hold,15,4.0165668,5.157236
boil,water cooking,water cooking,cook in rapidly bubbling liquid,heat water until rolling boil,high-temperature cooking,boil pasta,,water cooking cook in rapidly bubbling liquid heat water until rolling boil high-temperature cooking,5,water cooking,1.0000000000000002,boil,15,2.0955045,2.8590183
cream,mixing,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,4,mixing,1.0,cream,15,7.348996,2.6322927
dump,action,action,pour all at once,add quickly,transfer bulk ingredient,dump vegetables into pot,,action pour all at once add quickly transfer bulk ingredient,5,action,1.0,dump,15,5.8492794,4.171866
dip,action,action,immerse briefly in liquid,soak partially,cover surface quickly,dip strawberries in chocolate,,action immerse briefly in liquid soak partially cover surface quickly,5,action,1.0,dip,15,5.485762,1.2456325
throw,action,action,add quickly,mix roughly,put in container,throw vegetables into pan,,action add quickly mix roughly put in container,5,action,1.0,throw,15,5.656389,4.0694547
fry,more cooking,high heat cooking,cook in hot oil,cook in fat,high-heat method,fry eggs,,high heat cooking cook in hot oil cook in fat high-heat method,5,heat plus cool item,0.3087890209920528,fry,15,2.3913896,2.7368708
season,flavoring,add flavor,add flavor,use spices or salt,enhance taste,season soup with pepper,,add flavor add flavor use spices or salt enhance taste,5,add water,0.5687180842966731,season,15,4.603872,2.1021576
wet,add water,add water,moisten with liquid,add water or other liquid,prevent dryness,wet hands when shaping dough,,add water moisten with liquid add water or other liquid prevent dryness,5,add water,1.0,wet,15,5.0948877,2.0044336
stew,light cooking,slow heat cooking,cook slowly in liquid,simmer until tender,moist-heat method,stew beef for 2 hours,,slow heat cooking cook slowly in liquid simmer until tender moist-heat method,5,heat plus cool item,0.3087890209920528,stew,15,2.2163806,3.0535288
cool,cooling,cool item,lower temperature,allow to reach room temp,chill slightly,cool cake on rack,,cool item lower temperature allow to reach room temp chill slightly,3,heat plus cool item,0.6324289162028641,cool,15,3.0921435,4.303361
pre-heat,light cooking,low heating,heat oven beforehand,warm appliance before use,prepare correct temperature,pre-heat oven to 180°c,,low heating heat oven beforehand warm appliance before use prepare correct temperature,5,sound,0.0,pre-heat,15,3.2339346,3.9224558
stir-fry,more cooking,high heat cooking,cook quickly in hot pan with oil,high-heat method,shake and move ingredients,stir-fry vegetables,,high heat cooking cook quickly in hot pan with oil high-heat method shake and move ingredients,5,heat plus cool item,0.3087890209920528,stir-fry,15,2.4355416,2.6244667
pan-fry,more cooking,high heat cooking,cook in shallow oil,medium-heat cooking,brown surface,pan-fry chicken,,high heat cooking cook in shallow oil medium-heat cooking brown surface,5,heat plus cool item,0.3087890209920528,pan-fry,15,2.4186177,2.6895554
dry,reduce water,remove liquid,eliminate moisture,remove water,make surface dry,dry washed lettuce,,remove liquid eliminate moisture remove water make surface dry,5,liquid leftover,0.408248290463863,dry,15,5.609095,1.5419465
warm,light cooking,low heating,increase temperature slightly,heat gently,keep at serving temp,warm soup,,low heating increase temperature slightly heat gently keep at serving temp,5,sound,0.0,warm,15,2.9642453,3.9353702
pour,action,action,transfer liquid,flow into container,add ingredient,pour batter into pan,,action transfer liquid flow into container add ingredient,5,action,1.0,pour,15,5.186427,4.1933765
put,action,action,place somewhere,set ingredient down,add to dish,put vegetables in pot,,action place somewhere set ingredient down add to dish,5,action,1.0,put,15,5.6244726,4.441164
add,action,action,include ingredient,introduce into mixture,combine with others,add salt to taste,,action include ingredient introduce into mixture combine with others,4,action,1.0,add,15,5.6711454,4.3509207
