word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y
crumble,cutting,cut item,break into small pieces,reduce to crumbs,create rough texture,crumble cheese,,cut item break into small pieces reduce to crumbs create rough texture,2,item,1.0,crumble,13,8.041576,2.9334097
stretch,shape change,shape change,pull gently to enlarge,extend dough,increase surface area,stretch pizza dough,,shape change pull gently to enlarge extend dough increase surface area,2,shape change,1.0,stretch,13,6.7327485,4.599402
powdered,shape change,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,2,shape change,1.0,powdered,13,7.6782765,2.9593143
grind,cutting,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,2,item,1.0,grind,13,7.6834593,2.9304225
slash,cutting,cut item,make long cut,score surface,allow expansion,slash bread dough,,cut item make long cut score surface allow expansion,2,item,1.0,slash,13,8.03316,4.341092
divide,cutting,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,2,item,1.0,divide,13,8.7891655,3.551929
square,shape change,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,2,shape change,1.0,square,13,7.7636466,3.5657372
poke,cutting,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,2,item,1.0,poke,13,7.878743,4.1361976
soften,shape change,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,2,shape change,1.0,soften,13,7.1958814,3.662676
mould,shape change,shape change,shape food,form using mold,create set shape,mould butter,,shape change shape food form using mold create set shape,2,shape change,1.0,mould,13,7.084933,4.1715975
shape,shape change,shape change,form into desired form,give structure,create outline,shape dough,,shape change form into desired form give structure create outline,2,shape change,1.0,shape,13,7.104771,4.278588
raise,action,action,increase height or level,cause dough to grow,elevate mixture,yeast raises dough,,action increase height or level cause dough to grow elevate mixture,2,action,1.0,raise,13,6.3348384,4.487785
tear,cutting,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,2,item,1.0,tear,13,8.676022,3.4880018
smash,shape change,shape change,crush forcefully,flatten completely,break into pieces,smash garlic,,shape change crush forcefully flatten completely break into pieces,2,shape change,1.0,smash,13,7.864558,3.257865
squash,shape change,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,2,shape change,1.0,squash,13,7.3380227,3.304476
mash,mixing,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,4,mixing,1.0,mash,13,7.6230593,2.7518675
crush,shape change,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,2,shape change,1.0,crush,13,7.6482053,3.3614216
break,cutting,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,2,item,1.0,break,13,8.703063,3.712217
dice,cutting,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,2,item,1.0,dice,13,8.329221,3.1435359
mound,shape change,shape change,shape into small heap,pile food loosely,form round pile,mound rice on plate,,shape change shape into small heap pile food loosely form round pile,2,shape change,1.0,mound,13,7.24301,4.086396
smooth,shape change,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,2,shape change,1.0,smooth,13,7.036919,3.6146336
roll,shape change,shape change,flatten or shape by rolling,form cylinder,shape dough,roll out pastry,,shape change flatten or shape by rolling form cylinder shape dough,2,shape change,1.0,roll,13,7.2794127,4.3813696
pull,shape change,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,5,shape change,1.0,pull,13,6.9919243,4.7532635
minced,cutting,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,2,item,1.0,minced,13,8.492182,3.5027745
mince,cutting,cut item,cut into very small pieces,chop finely,reduce to tiny bits,mince onions,,cut item cut into very small pieces chop finely reduce to tiny bits,2,item,1.0,mince,13,8.320836,3.1746955
chop,cutting,cut item,cut into pieces,divide roughly,cut ingredients,chop onions,,cut item cut into pieces divide roughly cut ingredients,2,item,1.0,chop,13,8.628545,3.6492653
separate,cutting,cut item,divide into parts,remove layers,split ingredient,separate egg yolk from white,,cut item divide into parts remove layers split ingredient,2,item,1.0,separate,13,8.80496,3.7986112
slice,cutting,cut item,cut into flat pieces,divide food,make thin portions,slice bread,,cut item cut into flat pieces divide food make thin portions,2,item,1.0,slice,13,8.538481,3.6430345
cut,cutting,cut item,divide with knife,slice or chop,shape ingredients,cut vegetables,,cut item divide with knife slice or chop shape ingredients,2,item,1.0,cut,13,8.475049,3.935166
